Date,Open,High,Low,Close,Adj Close,Volume
1987-04-16,26.521748,26.615576,25.771132,25.833685,10.249681,5275670
1987-04-20,26.115164,26.146441,25.552202,25.646030,10.175224,3493133
1987-04-21,25.301998,26.615576,25.301998,26.553022,10.535078,5435539
1987-04-22,26.521748,26.865780,25.990063,25.990063,10.311724,5915146
1987-04-23,26.271544,26.365370,25.646030,25.927511,10.286908,4236523
1987-04-24,25.708582,25.990063,25.583479,25.771132,10.224861,4156589
1987-04-27,25.458376,26.146441,25.270721,25.614754,10.162814,6634555
1987-04-28,25.739857,26.208990,25.520927,25.677305,10.187633,4955933
1987-04-29,25.833685,25.990063,25.520927,25.646030,10.175224,3457562
1987-04-30,25.739857,26.521748,25.677305,25.896235,10.274499,4476326
1987-05-01,25.802408,26.334093,25.552202,25.646030,10.175224,3401209
1987-05-04,25.614754,26.240267,25.489653,25.896235,10.274499,3025117
1987-05-05,26.365370,26.646851,26.146441,26.553022,10.535078,3695767
1987-05-06,26.553022,26.709402,26.302818,26.615576,10.559897,3943164
1987-05-07,26.897057,26.897057,26.334093,26.334093,10.448215,3395214
1987-05-08,26.521748,26.553022,25.864960,25.927511,10.286908,2982752
1987-05-11,26.177715,26.771954,25.614754,25.614754,10.162814,4636195
1987-05-12,25.583479,25.958786,25.583479,25.896235,10.274499,3589055
1987-05-13,25.833685,26.208990,25.552202,26.021338,10.324137,3026716
1987-05-14,26.177715,26.459196,25.990063,26.365370,10.460631,3410401
1987-05-15,25.896235,26.365370,25.552202,25.646030,10.175224,4796064
1987-05-18,25.489653,26.240267,25.083069,25.239447,10.013910,6394752
1987-05-19,25.239447,25.364550,24.801586,24.895414,9.877409,5955113
1987-05-20,24.864140,25.239447,24.582659,25.020517,9.927046,6234883
1987-05-21,25.458376,25.520927,25.020517,25.208172,10.001502,3165802
1987-05-22,25.270721,25.552202,25.145618,25.145618,9.976682,5155769
1987-05-26,26.521748,26.521748,25.395824,26.521748,10.522676,3397212
1987-05-27,26.521748,26.897057,25.583479,25.646030,10.175224,3037507
1987-05-28,26.083889,26.521748,25.583479,26.521748,10.522676,2437999
1987-05-29,26.771954,26.834503,25.833685,26.021338,10.324137,2737753
1987-06-01,26.396645,26.459196,25.646030,25.708582,10.200049,2617852
1987-06-02,25.958786,26.584299,25.646030,26.459196,10.497854,3916786
1987-06-03,26.646851,26.959606,26.459196,26.834503,10.646762,3337261
1987-06-04,26.959606,26.959606,26.709402,26.771954,10.621943,2710775
1987-06-05,26.709402,26.771954,26.271544,26.521748,10.522676,1828499
1987-06-08,27.022158,27.084709,26.021338,27.022158,10.788387,2997540
1987-06-09,27.147261,27.147261,26.584299,26.834503,10.713466,3057491
1987-06-10,27.022158,27.272364,26.271544,26.646851,10.638547,4196556
1987-06-11,26.897057,27.022158,26.396645,26.646851,10.638547,2318098
1987-06-12,26.959606,27.272364,26.897057,26.959606,10.763413,3357245
1987-06-15,27.209812,27.334915,27.084709,27.334915,10.913250,2657819
1987-06-16,27.147261,27.272364,26.709402,26.959606,10.763413,3796884
1987-06-17,27.022158,27.022158,26.396645,26.646851,10.638547,3656999
1987-06-18,26.584299,26.897057,26.459196,26.771954,10.688496,3452167
1987-06-19,26.771954,26.959606,26.709402,26.709402,10.663523,5675342
1987-06-22,27.084709,27.960428,26.959606,27.772774,11.088059,4136605
1987-06-23,27.897877,28.022980,27.334915,27.522570,10.988173,3417196
1987-06-24,27.209812,27.647671,27.147261,27.460016,10.963192,2418016
1987-06-25,27.522570,28.022980,27.522570,27.960428,11.162983,1998360
1987-06-26,27.522570,27.897877,27.522570,27.897877,11.138009,1939009
1987-06-29,27.585119,28.085529,27.585119,28.022980,11.187955,1895245
1987-06-30,28.085529,28.085529,27.084709,27.209812,10.863296,2877638
1987-07-01,27.209812,27.522570,26.834503,27.022158,10.788387,2997540
1987-07-02,27.334915,27.647671,26.897057,27.522570,10.988173,2018344
1987-07-06,27.835325,27.897877,27.334915,27.522570,10.988173,2657819
1987-07-07,27.585119,28.148081,27.460016,27.960428,11.162983,3017524
1987-07-08,28.022980,28.335735,27.835325,28.335735,11.312812,3637015
1987-07-09,28.335735,28.398287,27.835325,27.897877,11.138009,3417196
1987-07-10,27.897877,27.960428,27.647671,27.710222,11.063091,2477966
1987-07-13,27.835325,27.835325,27.334915,27.460016,10.963192,2577884
1987-07-14,27.710222,28.022980,27.585119,28.022980,11.187955,2418016
1987-07-15,28.022980,28.022980,27.460016,27.585119,11.013143,2897622
1987-07-16,27.522570,27.960428,27.334915,27.960428,11.162983,2457983
1987-07-17,28.085529,28.273184,27.772774,27.897877,11.138009,3157409
1987-07-20,27.585119,28.022980,27.585119,27.647671,11.038119,1578704
1987-07-21,27.522570,28.085529,26.897057,27.897877,11.138009,2677802
1987-07-22,27.397467,28.085529,27.272364,28.085529,11.212923,2477966
1987-07-23,28.460838,28.648493,28.148081,28.398287,11.337794,3577064
